,Seed,Technique,Feature,Percentage,R2,RMSE
35,11,NN2,UR,5,0.9523203685827183,0.20245515881806153
36,12,NN2,Pres,5,0.9887798209963439,0.09006362353813675
37,12,NN2,Temp,5,0.9806129965836102,0.1261172202731134
38,12,NN2,UR,5,0.9309939720728904,0.24505704886960658
39,13,NN2,Pres,5,0.9956822567965973,0.06768385898734539
40,13,NN2,Temp,5,0.9741786525012583,0.14312289660104852
41,13,NN2,UR,5,0.9255960671821545,0.25576420795878096
42,14,NN2,Pres,5,0.9880678585355017,0.09965240480332285
43,14,NN2,Temp,5,0.9774664553001156,0.13106104411131347
44,14,NN2,UR,5,0.9362483666339003,0.25508472643984204
45,15,NN2,Pres,5,0.994584802495926,0.06955425531688696
46,15,NN2,Temp,5,0.9774664553001156,0.13106104411131347
47,15,NN2,UR,5,0.9409153917108894,0.23649255133304659
48,16,NN2,Pres,5,0.9953999602495055,0.0712595945757358
49,16,NN2,Temp,5,0.9715505002260413,0.1485224199074087
50,16,NN2,UR,5,0.9363388112851616,0.2504477976400695
51,17,NN2,Pres,5,0.9946671963929854,0.07150470501997465
52,17,NN2,Temp,5,0.9800460739314677,0.12429442530740423
53,17,NN2,UR,5,0.9362483666339003,0.25508472643984204
54,18,NN2,Pres,5,0.9918983052297633,0.08648560445971859
55,18,NN2,Temp,5,0.9752648749046929,0.14021405043369467
56,18,NN2,UR,5,0.9387735070067336,0.24008551303418724
57,19,NN2,Pres,5,0.9952309937551107,0.0640160205707066
58,19,NN2,Temp,5,0.9789355977966174,0.12335987564903403
59,19,NN2,UR,5,0.9366238003132281,0.23831915374499912
60,20,NN2,Pres,5,0.9941490667217827,0.07122078366394151
61,20,NN2,Temp,5,0.970854935842279,0.1420093777202736
62,20,NN2,UR,5,0.8943456144568673,0.3254688337785103
63,21,NN2,Pres,5,0.9961739083872478,0.06372368431436372
64,21,NN2,Temp,5,0.9570305050967336,0.18669013587773653
65,21,NN2,UR,5,0.9332297239834186,0.23117297932585654
66,22,NN2,Pres,5,0.9913390557602662,0.09362199092975836
67,22,NN2,Temp,5,0.9831354645463304,0.1318929809061494
68,22,NN2,UR,5,0.9431110506650773,0.22395549990335686
69,23,NN2,Pres,5,0.9945844677464368,0.0702474304044958
70,23,NN2,Temp,5,0.9713161007161988,0.15363886274688635
71,23,NN2,UR,5,0.9373043104353662,0.24688131451862722
72,24,NN2,Pres,5,0.9961456984368404,0.059765215485106944
73,24,NN2,Temp,5,0.974201325929698,0.14182973266118037
74,24,NN2,UR,5,0.9431110506650773,0.22395549990335686
75,25,NN2,Pres,5,0.9913390557602662,0.09362199092975836
76,25,NN2,Temp,5,0.9564690756463076,0.1843694540054759
77,25,NN2,UR,5,0.9264848517940838,0.2487736701152701
78,26,NN2,Pres,5,0.9961371781995882,0.0641547560261406
79,26,NN2,Temp,5,0.9564690756463076,0.1843694540054759
80,26,NN2,UR,5,0.9309939720728904,0.24505704886960658
81,27,NN2,Pres,5,0.9962971350505675,0.059134101441945905
82,27,NN2,Temp,5,0.9740326068832642,0.14850739210402925
83,27,NN2,UR,5,0.9466116930920832,0.21895902867385966
84,28,NN2,Pres,5,0.9949856939107531,0.0668224566531599
85,28,NN2,Temp,5,0.9603153684671857,0.17096370039198822
86,28,NN2,UR,5,0.9362483666339003,0.25508472643984204
87,29,NN2,Pres,5,0.9926929140634598,0.07936615940260894
88,29,NN2,Temp,5,0.9586961123773605,0.16762270503691523
89,29,NN2,UR,5,0.9366238003132281,0.23831915374499912
90,30,NN2,Pres,5,0.9960327067891566,0.06099658539581306
91,30,NN2,Temp,5,0.9623238617386338,0.16802671328438148
92,30,NN2,UR,5,0.9373190943432257,0.23735850520179122
93,31,NN2,Pres,5,0.9956822567965973,0.06768385898734539
94,31,NN2,Temp,5,0.967939682162555,0.15270345235085037
95,31,NN2,UR,5,0.9577363365191942,0.1995048616511387
96,32,NN2,Pres,5,0.995404013472029,0.06374739430358742
