,Technique,Feature,Percentage,mean,std,count,IC
0,NN1,Pres,5,0.990946233636024,0.0019076351735905547,50,0.0005287597765085694
1,NN1,Pres,10,0.9910376549331117,0.001084551091951018,50,0.00030061670120751227
2,NN1,Pres,25,0.9910539436014341,0.0005446658153895716,50,0.0001509708873081994
3,NN1,Pres,50,0.9911406047494448,0.000385944121270151,50,0.00010697628673073112
4,NN1,Temp,5,0.963291594363969,0.010629297702366564,50,0.002946236867172214
5,NN1,Temp,10,0.9628862558823602,0.00477427432101349,50,0.0013233370079973605
6,NN1,Temp,25,0.9627444773147115,0.0028322245187183586,50,0.0007850381583817123
7,NN1,Temp,50,0.9625479623999251,0.0018470141754820585,50,0.0005119568018857601
8,NN1,UR,5,0.9304628206423063,0.014700285804559218,50,0.004074636463114345
9,NN1,UR,10,0.927173814055636,0.007041230586495023,50,0.0019516936795902495
10,NN1,UR,25,0.9263657036708678,0.0035105668570799974,50,0.0009730616065725117
11,NN1,UR,50,0.9261146928715714,0.0027570330800063443,50,0.0007641965378878401
12,NN2,Pres,5,0.9899782801694026,0.0021422489872041446,50,0.0005937902128151373
13,NN2,Pres,10,0.9900628522220812,0.0013273706886657894,50,0.00036792162275034457
14,NN2,Pres,25,0.9900840872174377,0.0008011627827719882,50,0.0002220669129140429
15,NN2,Pres,50,0.9902638289845543,0.0006084376453299377,50,0.00016864721190823495
16,NN2,Temp,5,0.9618994764238803,0.012679576584976331,50,0.0035145347360506785
17,NN2,Temp,10,0.9613606862932168,0.010159101376295334,50,0.0028159074898727043
18,NN2,Temp,25,0.9610889816428378,0.009975159732511287,50,0.0027649224043572174
19,NN2,Temp,50,0.9610249077059381,0.009216333541456111,50,0.0025545903803172454
20,NN2,UR,5,0.9306392123650679,0.013561677566417431,50,0.0037590361607789946
21,NN2,UR,10,0.9269082693045182,0.006945426890915049,50,0.0019251387379720653
22,NN2,UR,25,0.925680970707641,0.004400435029643832,50,0.0012197159472771002
23,NN2,UR,50,0.9256994209248198,0.0032009280026931946,50,0.0008872356720801555
