,Technique,Feature,Percentage,mean,std,count,IC
0,NN1,Pres,5,0.09100397932982635,0.008412475535017215,50,0.0023317764032456945
1,NN1,Pres,10,0.09170190156772176,0.005494152079935219,50,0.0015228732758281877
2,NN1,Pres,25,0.09208811379078041,0.0026147063353332144,50,0.0007247463019379313
3,NN1,Pres,50,0.09171825834065254,0.0020761808669299588,50,0.0005754774007039748
4,NN1,Temp,5,0.16443426904821615,0.02100363178367363,50,0.005821802722845132
5,NN1,Temp,10,0.16883511337153753,0.011162748290908693,50,0.0030940991093246495
6,NN1,Temp,25,0.16944248542965049,0.006155028253023306,50,0.0017060554389690674
7,NN1,Temp,50,0.1702256730016577,0.003947705656537218,50,0.0010942280733603482
8,NN1,UR,5,0.24916501693636509,0.024117281163082083,50,0.006684846439366371
9,NN1,UR,10,0.25503975249486344,0.011314381297196103,50,0.0031361288619868866
10,NN1,UR,25,0.2557007490795931,0.0057712573160037415,50,0.0015996815171111511
11,NN1,UR,50,0.25635105205174524,0.004650703188798551,50,0.0012890854670542518
12,NN2,Pres,5,0.09565639933319414,0.008598553878376151,50,0.0023833537407836475
13,NN2,Pres,10,0.09651842382294626,0.006274150947961099,50,0.0017390739586652937
14,NN2,Pres,25,0.09693166500348407,0.0040865222402477735,50,0.0011327053602098736
15,NN2,Pres,50,0.09612868586449799,0.0031711446906941923,50,0.0008789803108798511
16,NN2,Temp,5,0.16722577375809566,0.0239648548039717,50,0.006642596784561833
17,NN2,Temp,10,0.17162989291765338,0.020661800292940482,50,0.005727053608787114
18,NN2,Temp,25,0.17245000778934044,0.01793654122883809,50,0.004971664216930488
19,NN2,Temp,50,0.17300709313943952,0.016472067777517013,50,0.004565740345561592
20,NN2,UR,5,0.24897917959558682,0.02276919278817067,50,0.006311182272496163
21,NN2,UR,10,0.25549575661119245,0.011114136193856804,50,0.0030806247710818413
22,NN2,UR,25,0.256835913094583,0.0068351689135939305,50,0.0018945773474851602
23,NN2,UR,50,0.25704924912312804,0.005098659841698697,50,0.0014132504347336705
