,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,NN1,Pres,5,0.9930199179134354,0.07308733561330152
1,0,NN1,Temp,5,0.9652445510972958,0.15004891612491206
2,0,NN1,UR,5,0.9370502413213586,0.23558346795134982
3,1,NN1,Pres,5,0.9961770064641484,0.059877016985642885
4,1,NN1,Temp,5,0.9747039081612787,0.13886269212965574
5,1,NN1,UR,5,0.9428042382142611,0.22663224870244242
6,2,NN1,Pres,5,0.9947212032991694,0.07026919879075381
7,2,NN1,Temp,5,0.9701739946097476,0.14365874314969454
8,2,NN1,UR,5,0.9428042382142611,0.22663224870244242
9,3,NN1,Pres,5,0.9943175819209563,0.06831478328602816
10,3,NN1,Temp,5,0.9757974316639212,0.13737234720800634
11,3,NN1,UR,5,0.903601503138214,0.2777669789755725
12,4,NN1,Pres,5,0.9949929033067708,0.07058761493259583
13,4,NN1,Temp,5,0.9715002989145667,0.14775978056444108
14,4,NN1,UR,5,0.9332265331158958,0.2507253382081644
15,5,NN1,Pres,5,0.9935682934219393,0.07572252486749724
16,5,NN1,Temp,5,0.9728262371223813,0.1428133807589766
17,5,NN1,UR,5,0.956275950452707,0.20292245241694437
18,6,NN1,Pres,5,0.995453700918311,0.06827344209580093
19,6,NN1,Temp,5,0.97093271846077,0.14698008034357746
20,6,NN1,UR,5,0.9490944468191163,0.2073103367545181
21,7,NN1,Pres,5,0.9931437450965616,0.07718543607981222
22,7,NN1,Temp,5,0.972760439738825,0.149360617251503
23,7,NN1,UR,5,0.8952527917644368,0.2995456140173278
24,8,NN1,Pres,5,0.99519788074812,0.06920698952707774
25,8,NN1,Temp,5,0.9704902241772527,0.13622466418060647
26,8,NN1,UR,5,0.9373352659078291,0.24355210462266108
27,9,NN1,Pres,5,0.995485430446815,0.06690470799335413
28,9,NN1,Temp,5,0.945490550230841,0.1700310872702357
29,9,NN1,UR,5,0.903601503138214,0.2777669789755725
30,10,NN1,Pres,5,0.9943977574982817,0.07106599800337894
31,10,NN1,Temp,5,0.9701739946097476,0.14365874314969454
32,10,NN1,UR,5,0.9370502413213586,0.23558346795134982
33,11,NN1,Pres,5,0.9935362158125199,0.07122644743727528
34,11,NN1,Temp,5,0.9593783715494666,0.16869959569579965
35,11,NN1,UR,5,0.9463745336856404,0.21470786021157942
36,12,NN1,Pres,5,0.9918073749692119,0.07695929173959062
37,12,NN1,Temp,5,0.98023283024404,0.12734775478715665
38,12,NN1,UR,5,0.9318077838042385,0.24360774228267226
39,13,NN1,Pres,5,0.9959240264890435,0.06576160191795972
40,13,NN1,Temp,5,0.9717491407662601,0.14970472111280378
41,13,NN1,UR,5,0.9190669654595649,0.2667501883481633
42,14,NN1,Pres,5,0.9926855934255976,0.07802218981011469
43,14,NN1,Temp,5,0.9747039081612787,0.13886269212965574
44,14,NN1,UR,5,0.9351156273681075,0.2573409217429463
45,15,NN1,Pres,5,0.9949373922476359,0.06725176622617597
46,15,NN1,Temp,5,0.9747039081612787,0.13886269212965574
47,15,NN1,UR,5,0.9373352659078291,0.24355210462266108
48,16,NN1,Pres,5,0.9957754246668689,0.06828952380399195
49,16,NN1,Temp,5,0.9675784799231393,0.15855187627424092
50,16,NN1,UR,5,0.9382497851778066,0.24666020126072716
51,17,NN1,Pres,5,0.9949483516118134,0.0695942536406298
52,17,NN1,Temp,5,0.9766861966801766,0.13435196894352364
53,17,NN1,UR,5,0.9351156273681075,0.2573409217429463
54,18,NN1,Pres,5,0.9921441510693038,0.08516329344126568
55,18,NN1,Temp,5,0.9715290103763274,0.15043045224673196
56,18,NN1,UR,5,0.9332265331158958,0.2507253382081644
57,19,NN1,Pres,5,0.9955109151419632,0.06210887110329623
58,19,NN1,Temp,5,0.9781972323950768,0.1255033060993933
59,19,NN1,UR,5,0.9309024233908623,0.2488440490758175
60,20,NN1,Pres,5,0.9945381366528149,0.06881206490407252
61,20,NN1,Temp,5,0.9701739946097476,0.14365874314969454
62,20,NN1,UR,5,0.8880352926507329,0.33504737374478316
63,21,NN1,Pres,5,0.9962783818590724,0.06284765824413788
64,21,NN1,Temp,5,0.9555752281681639,0.18982519313430476
65,21,NN1,UR,5,0.903601503138214,0.2777669789755725
66,22,NN1,Pres,5,0.9919228906367527,0.09041140801781
67,22,NN1,Temp,5,0.9812991522936314,0.13888813276198114
68,22,NN1,UR,5,0.9370502413213586,0.23558346795134982
69,23,NN1,Pres,5,0.9954221262236622,0.06458650385578246
70,23,NN1,Temp,5,0.9692822020814404,0.1589926429955337
71,23,NN1,UR,5,0.9266322641415599,0.267068051507731
72,24,NN1,Pres,5,0.9961090274501918,0.06004885456115692
73,24,NN1,Temp,5,0.9757974316639212,0.13737234720800634
74,24,NN1,UR,5,0.9370502413213586,0.23558346795134982
75,25,NN1,Pres,5,0.9919228906367527,0.09041140801781
76,25,NN1,Temp,5,0.9588543250211998,0.17924709276625989
77,25,NN1,UR,5,0.9218962826364056,0.2564199712083537
78,26,NN1,Pres,5,0.9961608825023366,0.06395760947826436
79,26,NN1,Temp,5,0.9588543250211998,0.17924709276625989
80,26,NN1,UR,5,0.9318077838042385,0.24360774228267226
81,27,NN1,Pres,5,0.9964623934831972,0.057799466287360914
82,27,NN1,Temp,5,0.9741243690884265,0.14824476608769938
83,27,NN1,UR,5,0.9428042382142611,0.22663224870244242
84,28,NN1,Pres,5,0.9946797466791489,0.06883085639817298
85,28,NN1,Temp,5,0.9557424556164774,0.18054538424706587
86,28,NN1,UR,5,0.9351156273681075,0.2573409217429463
87,29,NN1,Pres,5,0.9940422236943194,0.07166471100615568
88,29,NN1,Temp,5,0.9541714244881611,0.1765653821790045
89,29,NN1,UR,5,0.9309024233908623,0.2488440490758175
90,30,NN1,Pres,5,0.9961770064641484,0.059877016985642885
91,30,NN1,Temp,5,0.9588680064789199,0.17556381955364092
92,30,NN1,UR,5,0.9390914895626433,0.23397860976714227
93,31,NN1,Pres,5,0.9959240264890435,0.06576160191795972
94,31,NN1,Temp,5,0.9671684979606546,0.15452911596860008
95,31,NN1,UR,5,0.956275950452707,0.20292245241694437
96,32,NN1,Pres,5,0.9955675846947473,0.06260273208757142
97,32,NN1,Temp,5,0.963759152559392,0.1598327832000674
98,32,NN1,UR,5,0.9373352659078291,0.24355210462266108
99,33,NN1,Pres,5,0.993190841222976,0.07590962328950218
100,33,NN1,Temp,5,0.9492918989182068,0.1846255458518453
101,33,NN1,UR,5,0.9518170364406131,0.21227906990053838
102,34,NN1,Pres,5,0.9964874972779596,0.0612043711031283
103,34,NN1,Temp,5,0.9625537886179254,0.17270594885055815
104,34,NN1,UR,5,0.9550580081762945,0.20126053173338185
