,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,Average3v,Pres,5,0.9533417201324983,0.18896276143006402
1,0,Average3v,Temp,5,0.83463379392771,0.3272990862653535
2,0,Average3v,UR,5,0.7636825667526072,0.4564525696096846
3,1,Average3v,Pres,5,0.961436318494335,0.19017245717166137
4,1,Average3v,Temp,5,0.8547175267819399,0.33278632995496255
5,1,Average3v,UR,5,0.7476074419619183,0.47607793805565535
6,2,Average3v,Pres,5,0.962992701334295,0.18605494873607994
7,2,Average3v,Temp,5,0.8216700663244226,0.35127451315864033
8,2,Average3v,UR,5,0.7476074419619183,0.47607793805565535
9,3,Average3v,Pres,5,0.9470596856557578,0.20851694869342005
10,3,Average3v,Temp,5,0.8439180465561511,0.34885498822463795
11,3,Average3v,UR,5,0.7287386622618803,0.4659501265074797
12,4,Average3v,Pres,5,0.967286869513221,0.1804249409116658
13,4,Average3v,Temp,5,0.8533536474607952,0.33517507690429965
14,4,Average3v,UR,5,0.6932126839345195,0.5374214088517079
15,5,Average3v,Pres,5,0.951180891109135,0.20862046008553473
16,5,Average3v,Temp,5,0.8346055590820635,0.35233392642067846
17,5,Average3v,UR,5,0.7852305989561528,0.44973440889740285
18,6,Average3v,Pres,5,0.9673709756778283,0.1829046898735901
19,6,Average3v,Temp,5,0.8542971424840974,0.329071527006196
20,6,Average3v,UR,5,0.7461121807530577,0.4629768855893917
21,7,Average3v,Pres,5,0.957398924063193,0.19239871552672178
22,7,Average3v,Temp,5,0.8448614305200268,0.35644780512537944
23,7,Average3v,UR,5,0.7474836690036216,0.4650894325026179
24,8,Average3v,Pres,5,0.9579899982508091,0.20469622687115882
25,8,Average3v,Temp,5,0.7606261381976142,0.3879816216708503
26,8,Average3v,UR,5,0.7908167100124048,0.4449833700978521
27,9,Average3v,Pres,5,0.9665127907933128,0.1822166185620051
28,9,Average3v,Temp,5,0.765358810060245,0.35277236697975123
29,9,Average3v,UR,5,0.7287386622618803,0.4659501265074797
30,10,Average3v,Pres,5,0.9565551543074433,0.19790193331461609
31,10,Average3v,Temp,5,0.8216700663244226,0.35127451315864033
32,10,Average3v,UR,5,0.7636825667526072,0.4564525696096846
33,11,Average3v,Pres,5,0.9490246649010968,0.20002206399123246
