,Technique,Percentage,ExecTime,AllocMemory
0,NN1-train-50,50,6.73973822593689,4069.4736328125
1,NN1-test,5,2.8148605823516846,162.6689453125
2,NN1-test,10,6.339395046234131,145.4228515625
3,NN1-test,25,20.98857307434082,139.51171875
4,NN1-test,50,61.42883658409119,139.44921875
5,NN1-train-50,50,5.511612415313721,3918.974609375
6,NN1-test,5,2.497243642807007,139.48046875
7,NN1-test,10,5.85363507270813,139.546875
8,NN1-test,25,20.46198320388794,139.44921875
9,NN1-test,50,61.21313977241516,139.44921875
10,NN1-train-50,50,5.837884187698364,3911.072265625
11,NN1-test,5,2.508216142654419,139.5703125
12,NN1-test,10,5.862738132476807,139.44921875
13,NN1-test,25,20.503650426864624,139.44921875
14,NN1-test,50,61.81119656562805,139.62890625
15,NN1-train-50,50,6.869646072387695,3909.064453125
16,NN1-test,5,2.498976230621338,139.43359375
17,NN1-test,10,5.848424434661865,139.44921875
18,NN1-test,25,20.69694972038269,139.44921875
19,NN1-test,50,61.67397713661194,139.67578125
20,NN1-train-50,50,5.907731056213379,3913.548828125
21,NN1-test,5,2.490577220916748,139.43359375
22,NN1-test,10,5.858721017837524,139.44921875
23,NN1-test,25,20.570476770401,139.44921875
24,NN1-test,50,61.32785391807556,139.73046875
25,NN1-train-50,50,6.317598819732666,3912.177734375
26,NN1-test,5,2.5154037475585938,139.43359375
27,NN1-test,10,5.861093759536743,139.44921875
28,NN1-test,25,20.424381256103516,139.44921875
29,NN1-test,50,61.6936457157135,139.44921875
30,NN1-train-50,50,8.502285718917847,3916.568359375
31,NN1-test,5,2.5270493030548096,139.8125
32,NN1-test,10,5.868235111236572,139.44921875
33,NN1-test,25,20.5713210105896,139.44921875
34,NN1-test,50,60.55682849884033,139.44921875
35,NN1-train-50,50,5.306872844696045,3905.826171875
36,NN1-test,5,2.4496712684631348,139.43359375
37,NN1-test,10,5.724659442901611,139.86328125
38,NN1-test,25,20.221647262573242,139.44921875
39,NN1-test,50,60.41926407814026,139.44921875
40,NN1-train-50,50,5.824538230895996,3906.408203125
41,NN1-test,5,2.4625957012176514,139.43359375
42,NN1-test,10,5.740180253982544,139.44921875
43,NN1-test,25,20.13392448425293,139.44921875
44,NN1-test,50,60.392210483551025,139.94140625
45,NN1-train-50,50,5.3328869342803955,3909.326171875
46,NN1-test,5,2.447361469268799,139.43359375
47,NN1-test,10,5.720116138458252,139.44921875
48,NN1-test,25,19.981351137161255,139.44921875
49,NN1-test,50,60.45119524002075,139.44921875
50,NN1-train-50,50,6.272821426391602,3907.017578125
51,NN1-test,5,2.4588348865509033,139.43359375
52,NN1-test,10,5.7353997230529785,139.44921875
53,NN1-test,25,20.022573471069336,140.02734375
54,NN1-test,50,60.437443256378174,139.44921875
55,NN1-train-50,50,5.784911155700684,3908.298828125
56,NN1-test,5,2.4545035362243652,139.43359375
57,NN1-test,10,5.772027254104614,139.44921875
58,NN1-test,25,20.287841796875,139.44921875
59,NN1-test,50,60.600430965423584,139.44921875
60,NN1-train-50,50,6.787076711654663,3910.833984375
61,NN1-test,5,2.450465202331543,139.43359375
62,NN1-test,10,5.718603610992432,140.125
63,NN1-test,25,20.089022874832153,139.44921875
64,NN1-test,50,60.21437644958496,139.44921875
65,NN1-train-50,50,7.704709053039551,3916.775390625
66,NN1-test,5,2.4528586864471436,139.43359375
67,NN1-test,10,5.740498304367065,139.44921875
68,NN1-test,25,20.354750156402588,139.44921875
69,NN1-test,50,60.45166897773743,139.44921875
70,NN1-train-50,50,5.6898863315582275,3906.349609375
71,NN1-test,5,2.4506301879882812,139.43359375
72,NN1-test,10,5.735349655151367,140.234375
73,NN1-test,25,20.075150966644287,139.44921875
74,NN1-test,50,60.498215198516846,139.44921875
75,NN1-train-50,50,6.630982875823975,3907.146484375
76,NN1-test,5,2.466635227203369,139.43359375
77,NN1-test,10,5.7869343757629395,139.44921875
78,NN1-test,25,20.185348987579346,139.44921875
79,NN1-test,50,60.614699363708496,139.44921875
80,NN1-train-50,50,5.541392803192139,3908.869140625
81,NN1-test,5,2.4558582305908203,139.43359375
82,NN1-test,10,5.729111194610596,139.44921875
83,NN1-test,25,20.138526439666748,139.44921875
84,NN1-test,50,60.973782777786255,140.359375
85,NN1-train-50,50,6.616119623184204,3909.306640625
86,NN1-test,5,2.4727346897125244,139.43359375
87,NN1-test,10,5.767349004745483,139.44921875
88,NN1-test,25,20.239609718322754,139.44921875
89,NN1-test,50,60.383097410202026,139.44921875
90,NN1-train-50,50,7.125225305557251,3910.240234375
91,NN1-test,5,2.4610350131988525,139.43359375
92,NN1-test,10,5.745499849319458,139.44921875
93,NN1-test,25,20.168131589889526,139.44921875
94,NN1-test,50,60.22561526298523,139.44921875
95,NN1-train-50,50,6.5609354972839355,3910.736328125
96,NN1-test,5,2.4590160846710205,139.4375
97,NN1-test,10,5.739947080612183,140.50390625
98,NN1-test,25,20.116589069366455,139.453125
99,NN1-test,50,60.40278434753418,139.453125
100,NN1-train-50,50,5.565855264663696,3909.912109375
101,NN1-test,5,2.476588010787964,139.4375
102,NN1-test,10,5.762574911117554,139.453125
103,NN1-test,25,20.184669494628906,139.453125
104,NN1-test,50,60.58424663543701,139.453125
105,NN1-train-50,50,6.303940534591675,3909.763671875
106,NN1-test,5,2.4801950454711914,139.4375
107,NN1-test,10,5.770186901092529,139.453125
108,NN1-test,25,20.42082905769348,139.453125
109,NN1-test,50,60.571842432022095,139.453125
110,NN1-train-50,50,6.214933156967163,3907.021484375
111,NN1-test,5,2.47284197807312,139.4375
112,NN1-test,10,5.768528699874878,140.66015625
113,NN1-test,25,20.26452136039734,139.453125
114,NN1-test,50,61.10951280593872,139.453125
115,NN1-train-50,50,8.781371355056763,3912.349609375
116,NN1-test,5,2.53532075881958,139.4375
117,NN1-test,10,5.895180702209473,139.453125
118,NN1-test,25,20.692607879638672,139.453125
119,NN1-test,50,61.51933717727661,139.453125
120,NN1-train-50,50,7.020728349685669,3907.599609375
121,NN1-test,5,2.52414870262146,139.4375
122,NN1-test,10,5.883016347885132,139.453125
123,NN1-test,25,20.673161268234253,139.453125
124,NN1-test,50,61.693974018096924,139.453125
125,NN1-train-50,50,6.703563451766968,3908.162109375
126,NN1-test,5,2.5302393436431885,139.4375
127,NN1-test,10,5.885805368423462,139.453125
128,NN1-test,25,20.924139738082886,139.453125
129,NN1-test,50,61.59689426422119,140.8359375
130,NN1-train-50,50,7.369051933288574,3907.966796875
131,NN1-test,5,2.520623207092285,139.4375
132,NN1-test,10,5.857892751693726,139.453125
133,NN1-test,25,20.59005093574524,139.453125
134,NN1-test,50,61.749215602874756,139.453125
135,NN1-train-50,50,6.681964874267578,3907.369140625
136,NN1-test,5,2.5191173553466797,139.4375
137,NN1-test,10,5.824144601821899,139.453125
138,NN1-test,25,20.67680525779724,139.453125
139,NN1-test,50,61.687787771224976,139.453125
140,NN1-train-50,50,5.5225536823272705,3905.962890625
141,NN1-test,5,2.527782678604126,139.4375
142,NN1-test,10,5.898386478424072,139.453125
143,NN1-test,25,20.57693886756897,139.453125
144,NN1-test,50,61.814026832580566,139.453125
145,NN1-train-50,50,7.173979997634888,3908.947265625
146,NN1-test,5,2.525953531265259,139.4375
147,NN1-test,10,5.845287322998047,139.453125
148,NN1-test,25,20.68728280067444,141.03515625
149,NN1-test,50,61.52795386314392,139.453125
150,NN1-train-50,50,7.4182045459747314,3910.990234375
151,NN1-test,5,2.5412516593933105,139.4375
152,NN1-test,10,5.8944315910339355,139.453125
153,NN1-test,25,20.73729109764099,139.453125
154,NN1-test,50,61.7877402305603,139.453125
155,NN1-train-50,50,6.498911142349243,3906.935546875
156,NN1-test,5,2.5054352283477783,139.4375
157,NN1-test,10,5.893198013305664,139.453125
158,NN1-test,25,20.580775260925293,139.453125
159,NN1-test,50,62.92108869552612,139.453125
160,NN1-train-50,50,6.056519031524658,3909.498046875
161,NN1-test,5,2.521422863006592,139.4375
162,NN1-test,10,5.858628749847412,139.453125
163,NN1-test,25,20.6132972240448,139.453125
164,NN1-test,50,62.502254009246826,139.453125
165,NN1-train-50,50,8.04227614402771,3908.802734375
166,NN1-test,5,2.5258800983428955,139.4375
167,NN1-test,10,5.910871505737305,139.453125
168,NN1-test,25,20.703541040420532,139.453125
169,NN1-test,50,61.81936860084534,141.2578125
170,NN1-train-50,50,5.8465375900268555,3909.052734375
171,NN1-test,5,2.535229206085205,139.4375
172,NN1-test,10,5.929853916168213,139.453125
173,NN1-test,25,20.601881504058838,139.453125
174,NN1-test,50,61.75647950172424,139.453125
175,NN1-train-50,50,5.4032509326934814,3908.224609375
176,NN1-test,5,2.540947675704956,139.4375
177,NN1-test,10,5.933196544647217,139.453125
178,NN1-test,25,20.736231088638306,139.453125
179,NN1-test,50,63.391443729400635,139.453125
180,NN1-train-50,50,6.66899847984314,3908.458984375
181,NN1-test,5,2.5437326431274414,139.4375
182,NN1-test,10,5.9347264766693115,139.453125
183,NN1-test,25,20.97762417793274,139.453125
184,NN1-test,50,63.06944727897644,139.453125
185,NN1-train-50,50,6.970602512359619,3909.412109375
186,NN1-test,5,2.5427727699279785,139.4375
187,NN1-test,10,5.931796073913574,139.453125
188,NN1-test,25,21.050044536590576,139.453125
189,NN1-test,50,63.304627656936646,139.453125
190,NN1-train-50,50,7.685371160507202,3909.490234375
191,NN1-test,5,2.537400960922241,139.4375
192,NN1-test,10,5.894676446914673,139.453125
193,NN1-test,25,20.744343280792236,141.5078125
194,NN1-test,50,63.07050895690918,139.453125
195,NN1-train-50,50,6.348269462585449,3906.927734375
196,NN1-test,5,2.525970935821533,139.4375
197,NN1-test,10,5.992617130279541,139.453125
198,NN1-test,25,20.706541776657104,139.453125
199,NN1-test,50,63.38841772079468,139.453125
200,NN1-train-50,50,7.757911443710327,3909.302734375
201,NN1-test,5,2.535928726196289,139.4375
202,NN1-test,10,5.956014633178711,139.453125
203,NN1-test,25,20.97877264022827,139.453125
204,NN1-test,50,62.45737671852112,139.453125
205,NN1-train-50,50,6.4044740200042725,3910.427734375
206,NN1-test,5,2.545790433883667,139.4375
207,NN1-test,10,5.9374706745147705,139.453125
208,NN1-test,25,20.94179058074951,139.453125
209,NN1-test,50,63.198904514312744,139.453125
210,NN1-train-50,50,6.594868421554565,3907.193359375
211,NN1-test,5,2.543488025665283,139.4375
212,NN1-test,10,5.927047252655029,139.453125
213,NN1-test,25,20.67690873146057,139.453125
214,NN1-test,50,63.39001202583313,139.453125
215,NN1-train-50,50,5.891119003295898,3906.474609375
216,NN1-test,5,2.5649662017822266,139.4375
217,NN1-test,10,5.921226978302002,139.453125
218,NN1-test,25,20.787226676940918,139.453125
219,NN1-test,50,63.22442054748535,141.7890625
220,NN1-train-50,50,6.752542734146118,3907.287109375
221,NN1-test,5,2.5354294776916504,139.4375
222,NN1-test,10,5.901774168014526,139.453125
223,NN1-test,25,20.622684478759766,139.453125
224,NN1-test,50,63.159292459487915,139.453125
225,NN1-train-50,50,7.183334112167358,3907.853515625
226,NN1-test,5,2.5548155307769775,139.4375
