,Seed,Technique,Feature,Percentage,R2,RMSE
47,3,NN1,UR,50,0.9268620190745,0.2539695167175515
48,4,NN1,Pres,5,0.9922948745288147,0.08756395646157845
49,4,NN1,Temp,5,0.9642728280995571,0.1654380508743708
50,4,NN1,UR,5,0.9254600683232734,0.2649053676411037
51,4,NN1,Pres,10,0.9895620423055251,0.09947598584521493
52,4,NN1,Temp,10,0.968528904676808,0.15422437240907363
53,4,NN1,UR,10,0.9324071776543496,0.24873931159491935
54,4,NN1,Pres,25,0.9911185920857774,0.09159743704400276
55,4,NN1,Temp,25,0.959428745634424,0.17535174363391293
56,4,NN1,UR,25,0.9263171794125052,0.25364941654240314
57,4,NN1,Pres,50,0.9910244067271695,0.09225470562133282
58,4,NN1,Temp,50,0.9616696674997046,0.17135273048831726
59,4,NN1,UR,50,0.9288216461119719,0.25123670010905624
60,5,NN1,Pres,5,0.9889198862312054,0.09938803053933701
61,5,NN1,Temp,5,0.9716117150154308,0.14596999315166848
62,5,NN1,UR,5,0.9490255105520451,0.21910200700674776
63,5,NN1,Pres,10,0.9915202482668976,0.08958956516066992
64,5,NN1,Temp,10,0.9654551410463753,0.1615357400588488
65,5,NN1,UR,10,0.9301082996406678,0.24459173181729188
66,5,NN1,Pres,25,0.9903961466400174,0.09603293052370042
67,5,NN1,Temp,25,0.9657392858169778,0.1619790692136205
68,5,NN1,UR,25,0.9256191246688675,0.2590712012335564
69,5,NN1,Pres,50,0.9914363230380516,0.09050941921200654
70,5,NN1,Temp,50,0.9653997570092595,0.1634488397949536
71,5,NN1,UR,50,0.9237901843185083,0.2616041712177938
72,6,NN1,Pres,5,0.9926347899661906,0.08689911742619046
73,6,NN1,Temp,5,0.9682682928768792,0.15356879993076078
74,6,NN1,UR,5,0.9441980279616272,0.21705167920552024
75,6,NN1,Pres,10,0.9919017935149148,0.08828634593464184
76,6,NN1,Temp,10,0.9643168974632415,0.16475043060649172
77,6,NN1,UR,10,0.9289722729867234,0.24556695847224272
78,6,NN1,Pres,25,0.9909433760144027,0.09310390345614959
79,6,NN1,Temp,25,0.9632686828196557,0.16715561952716126
80,6,NN1,UR,25,0.9290837926363764,0.24766915313633872
81,6,NN1,Pres,50,0.9909347803274013,0.09283523267029584
82,6,NN1,Temp,50,0.9643788070550292,0.1663916945212609
83,6,NN1,UR,50,0.9268185371202654,0.2546104672524769
84,7,NN1,Pres,5,0.9897158022965824,0.09453161833581156
85,7,NN1,Temp,5,0.9723501976881004,0.15048113868721746
86,7,NN1,UR,5,0.8797305473042579,0.3209736669944455
87,7,NN1,Pres,10,0.9904181481354617,0.09356352941161643
88,7,NN1,Temp,10,0.968021653470118,0.15776570261171208
89,7,NN1,UR,10,0.9007032664963256,0.2859490374294933
90,7,NN1,Pres,25,0.9917638713236103,0.08780009397603686
91,7,NN1,Temp,25,0.963266736980187,0.16457005911648315
92,7,NN1,UR,25,0.9198128652441244,0.26445911876104533
93,7,NN1,Pres,50,0.9910343947445729,0.09148831745784512
94,7,NN1,Temp,50,0.9638636734149502,0.16506733165006043
95,7,NN1,UR,50,0.9190531249333086,0.26780482109923825
96,8,NN1,Pres,5,0.9909668180072444,0.09491915595549877
