,Seed,Technique,Feature,Percentage,R2,RMSE
43,14,Average4v,Temp,5,0.8805382404963713,0.3017680937792381
44,14,Average4v,UR,5,0.8062140805562588,0.44473356335285114
45,15,Average4v,Pres,5,0.93763520286759,0.23604038357825113
46,15,Average4v,Temp,5,0.8805382404963713,0.3017680937792381
47,15,Average4v,UR,5,0.8225081397699601,0.4098920610440933
48,16,Average4v,Pres,5,0.9517256931051399,0.23084505635303051
49,16,Average4v,Temp,5,0.86413740178069,0.32456722114328135
50,16,Average4v,UR,5,0.797127009789135,0.4470869159274375
51,17,Average4v,Pres,5,0.9288174192193458,0.261242414590563
52,17,Average4v,Temp,5,0.887524612126782,0.2950979693644825
53,17,Average4v,UR,5,0.8062140805562588,0.44473356335285114
54,18,Average4v,Pres,5,0.9288438450592763,0.25630797685010814
55,18,Average4v,Temp,5,0.8715174449818849,0.3195630531698984
56,18,Average4v,UR,5,0.7226010975390241,0.5110326313120354
57,19,Average4v,Pres,5,0.929722347755893,0.24574424178520143
58,19,Average4v,Temp,5,0.8577534677050026,0.3205680220687439
59,19,Average4v,UR,5,0.8208016228707895,0.40074017865566836
60,20,Average4v,Pres,5,0.9403931174344551,0.22732247700644506
61,20,Average4v,Temp,5,0.8454170727480016,0.32705084838177867
62,20,Average4v,UR,5,0.7438247113251131,0.5067972627691003
63,21,Average4v,Pres,5,0.9430146154966708,0.2459262778186185
64,21,Average4v,Temp,5,0.8284224231037078,0.3730538381410794
65,21,Average4v,UR,5,0.7728577549264148,0.42637765961001123
66,22,Average4v,Pres,5,0.9426474135909003,0.2409193901214122
67,22,Average4v,Temp,5,0.9130987620445689,0.29939702051846623
68,22,Average4v,UR,5,0.8049079590017894,0.4147320056111227
69,23,Average4v,Pres,5,0.9368711658778132,0.23984118084254274
70,23,Average4v,Temp,5,0.894356991893968,0.29485083961431713
71,23,Average4v,UR,5,0.7748012825821742,0.46789923572167386
72,24,Average4v,Pres,5,0.9459574361045393,0.22379151507597
73,24,Average4v,Temp,5,0.8671196773661682,0.3218836581118304
74,24,Average4v,UR,5,0.8049079590017894,0.4147320056111227
75,25,Average4v,Pres,5,0.9426474135909003,0.2409193901214122
76,25,Average4v,Temp,5,0.868501467652271,0.3204427703994669
77,25,Average4v,UR,5,0.7696272435941184,0.4403840225451894
78,26,Average4v,Pres,5,0.9530650394803389,0.2236272634431865
79,26,Average4v,Temp,5,0.868501467652271,0.3204427703994669
80,26,Average4v,UR,5,0.804379606717586,0.41260144841800445
81,27,Average4v,Pres,5,0.9416379557603709,0.23476552046848614
82,27,Average4v,Temp,5,0.8667469649210506,0.3364127522926939
83,27,Average4v,UR,5,0.8078010911240774,0.4154466320256454
84,28,Average4v,Pres,5,0.9356389650722227,0.23940241486768568
85,28,Average4v,Temp,5,0.8501844302893814,0.3321782617745426
86,28,Average4v,UR,5,0.8062140805562588,0.44473356335285114
87,29,Average4v,Pres,5,0.9326818951930094,0.2408957831905678
88,29,Average4v,Temp,5,0.8344876235429146,0.33554642558965375
89,29,Average4v,UR,5,0.8208016228707895,0.40074017865566836
