,Seed,Technique,Feature,Percentage,R2,RMSE
63,21,LastValue,Pres,5,0.9879777449286077,0.1129577840813833
64,21,LastValue,Temp,5,0.915312813615836,0.2620897880311443
65,21,LastValue,UR,5,0.8853584904940447,0.30291196783104996
66,22,LastValue,Pres,5,0.9873106657324033,0.11332211465247127
67,22,LastValue,Temp,5,0.961157290946162,0.20016551043673655
68,22,LastValue,UR,5,0.907200945916961,0.28603524548629566
69,23,LastValue,Pres,5,0.9885071505318033,0.10233489034947008
70,23,LastValue,Temp,5,0.9441265124216008,0.21442967117700878
71,23,LastValue,UR,5,0.881858205861589,0.33889968127028847
72,24,LastValue,Pres,5,0.9883195088911024,0.10404140196654789
73,24,LastValue,Temp,5,0.9499357372628582,0.19757523348773923
74,24,LastValue,UR,5,0.907200945916961,0.28603524548629566
75,25,LastValue,Pres,5,0.9873106657324033,0.11332211465247127
76,25,LastValue,Temp,5,0.9245539682450492,0.24272148804819385
77,25,LastValue,UR,5,0.8836668842938483,0.3129447532111357
78,26,LastValue,Pres,5,0.9901030564247404,0.10268974324565584
79,26,LastValue,Temp,5,0.9245539682450492,0.24272148804819385
80,26,LastValue,UR,5,0.900902352384491,0.29366714224956586
81,27,LastValue,Pres,5,0.9885599272180826,0.10394017873847292
82,27,LastValue,Temp,5,0.9524293240448184,0.20100347077863867
83,27,LastValue,UR,5,0.9037550548630007,0.2939874209049457
84,28,LastValue,Pres,5,0.9865946760952439,0.10925861058388578
85,28,LastValue,Temp,5,0.9255684477946633,0.23413765861554964
86,28,LastValue,UR,5,0.8994151033913308,0.3204093524191668
87,29,LastValue,Pres,5,0.9879347600492268,0.10198381152345933
88,29,LastValue,Temp,5,0.9177475582770008,0.23654391432367206
89,29,LastValue,UR,5,0.9022959831933859,0.29590483450261634
90,30,LastValue,Pres,5,0.9885053499083784,0.10382603090200411
91,30,LastValue,Temp,5,0.9448871303628867,0.20322243638035623
92,30,LastValue,UR,5,0.9049883370429953,0.2922305575138915
93,31,LastValue,Pres,5,0.9872553049639735,0.11628439328752731
94,31,LastValue,Temp,5,0.9322211862266917,0.22203013649789868
95,31,LastValue,UR,5,0.9242281453703717,0.26713074303124046
96,32,LastValue,Pres,5,0.9871625242087871,0.10654004670848037
97,32,LastValue,Temp,5,0.9473642316562736,0.19262257008335754
98,32,LastValue,UR,5,0.9172995078838406,0.279791381837523
99,33,LastValue,Pres,5,0.9850011100352524,0.11266257290197948
100,33,LastValue,Temp,5,0.9122672520112336,0.24284769458907163
101,33,LastValue,UR,5,0.9223788221370007,0.2694328445704318
102,34,LastValue,Pres,5,0.9890589205189416,0.10802000461672354
103,34,LastValue,Temp,5,0.9321613497651309,0.2324566388652167
104,34,LastValue,UR,5,0.9365841114557932,0.23907353243732835
105,35,LastValue,Pres,5,0.9879777449286077,0.1129577840813833
