,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,NN1,Pres,5,0.9930199179134354,0.07308733561330152
1,0,NN1,Temp,5,0.9652445510972958,0.15004891612491206
2,0,NN1,UR,5,0.9370502413213586,0.23558346795134982
3,0,NN1,Pres,10,0.9948552268792319,0.06919957919880386
4,0,NN1,Temp,10,0.9662073055350241,0.15749207005058422
5,0,NN1,UR,10,0.9258358629312202,0.26104013580892743
6,0,NN1,Pres,25,0.9933458378003521,0.07904237245551028
7,0,NN1,Temp,25,0.9634370708439819,0.16298818206474597
8,0,NN1,UR,25,0.9320960257348598,0.24895862534597346
9,0,NN1,Pres,50,0.9942758100203698,0.07370412664828833
10,0,NN1,Temp,50,0.9629955959915638,0.1693115053068087
11,0,NN1,UR,50,0.9284923391541742,0.2541636581962501
12,1,NN1,Pres,5,0.9961770064641484,0.059877016985642885
13,1,NN1,Temp,5,0.9747039081612787,0.13886269212965574
14,1,NN1,UR,5,0.9428042382142611,0.22663224870244242
15,1,NN1,Pres,10,0.9950959307878295,0.06649620150664323
16,1,NN1,Temp,10,0.9693746222552255,0.1515691834503238
17,1,NN1,UR,10,0.9310532772829344,0.24663258558896617
18,1,NN1,Pres,25,0.9952065581110138,0.06719742737121488
19,1,NN1,Temp,25,0.9677297745927299,0.15949286699813725
20,1,NN1,UR,25,0.9315034508028194,0.24463817139985836
21,1,NN1,Pres,50,0.9946145385037974,0.07146868888881974
22,1,NN1,Temp,50,0.9661225892330738,0.1621164643058694
23,1,NN1,UR,50,0.9290596672361934,0.24908165366364568
24,2,NN1,Pres,5,0.9947212032991694,0.07026919879075381
25,2,NN1,Temp,5,0.9701739946097476,0.14365874314969454
26,2,NN1,UR,5,0.9428042382142611,0.22663224870244242
27,2,NN1,Pres,10,0.9928669534768907,0.08169359760200924
28,2,NN1,Temp,10,0.9706958594501907,0.14879722194609357
29,2,NN1,UR,10,0.9310532772829344,0.24663258558896617
30,2,NN1,Pres,25,0.9944678023437005,0.07251339322141169
31,2,NN1,Temp,25,0.9689183718448906,0.1542511249345479
32,2,NN1,UR,25,0.9315034508028194,0.24463817139985836
33,2,NN1,Pres,50,0.9942522381601474,0.07402100945919037
34,2,NN1,Temp,50,0.9673059582197209,0.15896909143054203
35,2,NN1,UR,50,0.9290596672361934,0.24908165366364568
36,3,NN1,Pres,5,0.9943175819209563,0.06831478328602816
37,3,NN1,Temp,5,0.9757974316639212,0.13737234720800634
38,3,NN1,UR,5,0.903601503138214,0.2777669789755725
39,3,NN1,Pres,10,0.9947845690207943,0.06905265455259821
40,3,NN1,Temp,10,0.9585286843522094,0.1888572372459553
41,3,NN1,UR,10,0.9252107053137868,0.25596695406148345
42,3,NN1,Pres,25,0.9945693220322355,0.07320661387552789
43,3,NN1,Temp,25,0.9648935541002779,0.16803740053869087
44,3,NN1,UR,25,0.9253929081876385,0.25616392053537507
45,3,NN1,Pres,50,0.9942809189449758,0.07338723961082262
46,3,NN1,Temp,50,0.9649919367554068,0.16489993078002063
47,3,NN1,UR,50,0.9282868007688757,0.25148359372359214
48,4,NN1,Pres,5,0.9949929033067708,0.07058761493259583
49,4,NN1,Temp,5,0.9715002989145667,0.14775978056444108
50,4,NN1,UR,5,0.9332265331158958,0.2507253382081644
51,4,NN1,Pres,10,0.9930319908584547,0.08127647159516577
52,4,NN1,Temp,10,0.9743318542602386,0.1392817871535848
53,4,NN1,UR,10,0.9359338042944209,0.2421634558315999
54,4,NN1,Pres,25,0.9940825115970114,0.07476720074218655
55,4,NN1,Temp,25,0.9671456963714602,0.15779636853185683
56,4,NN1,UR,25,0.92903685171731,0.24892423657271864
57,4,NN1,Pres,50,0.9939261730394872,0.0758906290528645
58,4,NN1,Temp,50,0.9669962734468782,0.1590015016956459
59,4,NN1,UR,50,0.9314142877388966,0.24661866190204704
60,5,NN1,Pres,5,0.9935682934219393,0.07572252486749724
61,5,NN1,Temp,5,0.9728262371223813,0.1428133807589766
62,5,NN1,UR,5,0.956275950452707,0.20292245241694437
63,5,NN1,Pres,10,0.9949019472619127,0.06946531699784253
64,5,NN1,Temp,10,0.9682783810661342,0.15479416493717038
65,5,NN1,UR,10,0.9323343759464648,0.24066504398619928
66,5,NN1,Pres,25,0.9935300032976027,0.07882236319984634
67,5,NN1,Temp,25,0.9677923768079404,0.15705075604091256
68,5,NN1,UR,25,0.9301611323015639,0.2510366270686926
69,5,NN1,Pres,50,0.9945374573389385,0.07228714303208227
70,5,NN1,Temp,50,0.9671584660126906,0.1592406658726454
71,5,NN1,UR,50,0.9298285093831304,0.2510264936390896
72,6,NN1,Pres,5,0.995453700918311,0.06827344209580093
73,6,NN1,Temp,5,0.97093271846077,0.14698008034357746
74,6,NN1,UR,5,0.9490944468191163,0.2073103367545181
75,6,NN1,Pres,10,0.9951595969680851,0.06825585031907629
76,6,NN1,Temp,10,0.9667359330731697,0.15906803907643985
77,6,NN1,UR,10,0.9321458441232201,0.2400182134722399
78,6,NN1,Pres,25,0.9933869533377672,0.07955830366671422
79,6,NN1,Temp,25,0.9660442849835846,0.16071602051621592
80,6,NN1,UR,25,0.9315059151053414,0.24340287427714472
81,6,NN1,Pres,50,0.9938485239750974,0.07647391636848284
82,6,NN1,Temp,50,0.9669185168347112,0.1603503458130728
83,6,NN1,UR,50,0.928838266464237,0.25107239776251905
84,7,NN1,Pres,5,0.9931437450965616,0.07718543607981222
85,7,NN1,Temp,5,0.972760439738825,0.149360617251503
86,7,NN1,UR,5,0.8952527917644368,0.2995456140173278
87,7,NN1,Pres,10,0.994312987749756,0.0720815225710346
88,7,NN1,Temp,10,0.9687149598054563,0.15604611199747342
89,7,NN1,UR,10,0.9101798075132796,0.2719619513689538
90,7,NN1,Pres,25,0.9947654651016268,0.06999587855352597
91,7,NN1,Temp,25,0.9648202718930188,0.16105244047862183
92,7,NN1,UR,25,0.9271514567219052,0.2520673725800566
93,7,NN1,Pres,50,0.9946141839085401,0.07090903803177294
94,7,NN1,Temp,50,0.9654524796343371,0.16139778504896785
95,7,NN1,UR,50,0.9270535427112595,0.2542262841150184
96,8,NN1,Pres,5,0.99519788074812,0.06920698952707774
97,8,NN1,Temp,5,0.9704902241772527,0.13622466418060647
98,8,NN1,UR,5,0.9373352659078291,0.24355210462266108
99,8,NN1,Pres,10,0.994676097077838,0.07051279974729346
100,8,NN1,Temp,10,0.9648779357707508,0.1647640043325099
101,8,NN1,UR,10,0.9314891015126898,0.24601583924409695
102,8,NN1,Pres,25,0.9940805312304736,0.07319125517871054
103,8,NN1,Temp,25,0.9650493957678119,0.16382124792922473
